uid,game_pk,year,date,team_id_b,team_id_p,inning,top,at_bat_num,pcount_at_bat,pcount_pitcher,balls,strikes,fouls,outs,start_tfs,start_tfs_zulu,batter_id,stand,b_height,pitcher_id,p_throws,away_team_runs,home_team_runs,pitch_id,on_1b,on_2b,on_3b
15089928,287311,2011,2011-05-01,136,111,2,1,11,1,16,0,0,0,1,175702,2011-05-01 17:57:02,475253,L,6-4,123801,R,0,0,83,,,
16560235,287942,2011,2011-06-16,144,121,2,0,16,1,32,0,0,0,0,234614,2011-06-16 23:46:14,400134,L,6-2,285079,R,0,1,138,,,
17684309,288428,2011,2011-07-25,113,121,2,0,16,4,30,2,1,0,2,234324,2011-07-25 23:43:24,453943,R,6-3,285079,R,0,0,127,,,
14377004,287000,2011,2011-04-08,120,121,1,1,3,2,10,1,0,0,2,201405,2011-04-08 20:14:05,475582,R,6-3,285079,R,0,0,18,,,
15885982,287659,2011,2011-05-27,116,111,6,0,51,2,63,1,0,0,1,4928,2011-05-28 00:49:28,400121,R,6-2,123801,R,6,2,403,,,
16186015,287783,2011,2011-06-05,144,121,3,1,21,2,32,0,1,0,1,5919,2011-06-06 00:59:19,218596,R,6-1,285079,R,0,3,172,,,
17684272,288428,2011,2011-07-25,113,121,1,0,7,3,12,1,1,0,2,232459,2011-07-25 23:24:59,457803,L,6-3,285079,R,0,0,56,,,
16063840,287733,2011,2011-06-01,145,111,5,1,36,3,64,1,1,0,0,184243,2011-06-01 18:42:43,493596,R,6-0,123801,R,1,3,263,135783.0,,
16920076,288096,2011,2011-06-28,116,121,6,0,64,8,92,3,2,2,2,11210,2011-06-29 01:12:10,457706,R,6-1,285079,R,13,2,502,,,488671.0
16820943,288055,2011,2011-06-25,134,111,2,0,14,1,15,0,0,0,1,232950,2011-06-25 23:29:50,435522,L,6-3,123801,R,1,0,105,,,
16404029,287875,2011,2011-06-11,134,121,2,0,12,8,18,2,2,3,0,232937,2011-06-11 23:29:37,435522,R,6-3,285079,R,1,0,103,,,
14377154,287000,2011,2011-04-08,120,121,5,1,37,4,90,2,1,0,1,213527,2011-04-08 21:35:27,425560,L,6-3,285079,R,2,1,314,475582.0,150029.0,
17800655,288478,2011,2011-07-29,145,111,7,0,52,1,99,0,0,0,2,15547,2011-07-30 01:55:47,493596,R,6-0,123801,R,1,3,404,,,
16919931,288096,2011,2011-06-28,116,121,3,0,24,2,26,0,1,0,0,234943,2011-06-28 23:49:43,430605,R,6-0,285079,R,2,0,182,,,
16404077,287875,2011,2011-06-11,134,121,3,0,26,1,50,0,0,0,2,235950,2011-06-11 23:59:50,435522,R,6-3,285079,R,1,3,215,,,457705.0
14291964,286964,2011,2011-04-06,114,111,7,0,65,2,7,0,1,0,1,20746,2011-04-07 02:07:46,111851,R,5-10,123801,R,4,7,570,,,
16404141,287875,2011,2011-06-11,134,121,6,0,52,1,75,0,0,0,1,4016,2011-06-12 00:40:16,457420,R,6-3,285079,R,2,3,387,434540.0,,
14377144,287000,2011,2011-04-08,120,121,5,1,35,5,80,2,2,1,1,213004,2011-04-08 21:30:04,150029,R,6-5,285079,R,2,1,297,,,
17545708,288367,2011,2011-07-20,138,121,3,1,20,1,42,0,0,0,1,234415,2011-07-20 23:44:15,501896,R,6-2,285079,R,4,0,142,204020.0,,
14531234,287072,2011,2011-04-14,115,121,3,1,19,5,43,2,2,2,1,165320,2011-04-14 16:53:20,471865,L,6-1,285079,R,0,0,145,451594.0,453353.0,
16404067,287875,2011,2011-06-11,134,121,3,0,22,3,40,0,2,1,1,235138,2011-06-11 23:51:38,457428,L,6-5,285079,R,1,1,179,,,
14531210,287072,2011,2011-04-14,115,121,2,1,12,1,27,0,0,0,2,164030,2011-04-14 16:40:30,458643,L,5-11,285079,R,0,0,92,456655.0,453064.0,
16920040,288096,2011,2011-06-28,116,121,5,0,53,7,70,2,2,4,0,5042,2011-06-29 00:50:42,453269,L,6-4,285079,R,13,2,422,,,
17456460,288330,2011,2011-07-18,110,111,2,0,14,3,25,2,0,0,1,232934,2011-07-18 23:29:34,429712,L,6-2,123801,R,0,2,101,,,
17366099,288293,2011,2011-07-15,143,121,2,1,14,4,38,2,1,0,2,233905,2011-07-15 23:39:05,276519,R,5-8,285079,R,3,0,117,,460055.0,
14464950,287038,2011,2011-04-11,139,111,6,1,53,2,51,0,1,1,0,10336,2011-04-12 01:03:36,459964,L,6-2,123801,R,9,2,409,113028.0,,453539.0
17082017,288166,2011,2011-07-03,147,121,2,1,9,2,16,1,0,0,0,185816,2011-07-03 18:58:16,121347,R,6-3,285079,R,0,1,70,,,
16186163,287783,2011,2011-06-05,144,121,8,1,63,4,105,0,2,1,1,22422,2011-06-06 02:24:22,457788,L,6-1,285079,R,1,6,488,,462405.0,
15242085,287377,2011,2011-05-06,142,111,1,1,4,1,13,0,0,0,1,231630,2011-05-06 23:16:30,430585,L,6-0,123801,R,1,0,25,408047.0,,
16560328,287942,2011,2011-06-16,144,121,4,0,40,1,85,0,0,0,2,3422,2011-06-17 00:34:22,116706,L,6-4,285079,R,2,5,337,518792.0,,457788.0
