uid,game_pk,year,date,team_id_b,team_id_p,inning,top,at_bat_num,pcount_at_bat,pcount_pitcher,balls,strikes,fouls,outs,start_tfs,start_tfs_zulu,batter_id,stand,b_height,pitcher_id,p_throws,away_team_runs,home_team_runs,pitch_id,on_1b,on_2b,on_3b
16729776,288016,2011,2011-06-21,141,144,4,1,33,2,50,1,0,0,2,1030,2011-06-22 00:10:30,453454,R,5-9,501985,L,1,4,248,,150040.0,452252.0
15777061,287615,2011,2011-05-23,116,139,8,0,65,3,13,2,0,0,2,22459,2011-05-24 02:24:59,543108,L,6-0,407297,R,1,4,528,,400121.0,408234.0
15153969,287340,2011,2011-05-03,143,120,5,0,40,1,64,0,0,0,2,2609,2011-05-04 00:26:09,429667,L,6-4,115817,R,0,2,291,,425664.0,
14264786,286951,2011,2011-04-05,118,145,10,0,84,4,15,3,0,0,2,30619,2011-04-06 03:06:19,456714,R,6-1,435045,R,6,6,666,,460086.0,
15369069,287432,2011,2011-05-10,110,136,11,0,94,4,45,3,0,0,2,22700,2011-05-11 02:27:00,117601,R,6-5,444836,L,5,5,745,,429666.0,
17320256,288272,2011,2011-07-10,108,136,8,0,64,2,24,1,0,0,2,215309,2011-07-10 21:53:09,444432,R,6-4,456102,R,2,4,478,,430948.0,
16324899,287842,2011,2011-06-09,112,143,9,1,72,1,15,0,0,0,2,32935,2011-06-10 03:29:35,493120,L,6-0,425492,R,3,3,594,,502125.0,
17598623,288390,2011,2011-07-22,140,141,6,0,51,2,21,1,0,0,1,15835,2011-07-23 01:58:35,285078,L,6-4,425861,R,1,8,415,,435079.0,502226.0
16130364,287761,2011,2011-06-03,108,147,8,0,65,3,5,2,0,0,1,44532,2011-06-04 04:45:32,444432,R,6-4,425646,R,2,3,538,,430948.0,
17442985,288324,2011,2011-07-17,134,117,11,1,90,4,5,3,0,0,2,214625,2011-07-17 21:46:25,435522,L,6-3,444553,R,6,4,746,,502100.0,
16044008,287724,2011,2011-05-31,116,142,8,0,75,1,20,0,0,0,2,20243,2011-06-01 02:02:43,408234,R,6-4,430597,L,7,8,620,,,457706.0
15282686,287396,2011,2011-05-07,120,146,9,1,64,3,8,1,1,0,1,12647,2011-05-08 01:26:47,457787,L,6-0,430083,R,3,2,509,,150020.0,
16053412,287728,2011,2011-05-31,135,144,8,1,68,2,7,1,0,0,1,14737,2011-06-01 01:47:37,456121,R,6-0,276530,R,5,3,561,471868.0,,
15056578,287297,2011,2011-04-30,137,120,7,1,53,3,86,2,0,0,2,220458,2011-04-30 22:04:58,434630,R,6-2,458709,L,1,1,417,,430917.0,123173.0
14316498,286975,2011,2011-04-06,120,146,6,1,52,5,8,1,2,1,1,10623,2011-04-07 01:06:23,425556,L,6-1,430083,R,4,4,431,,,
14644320,287121,2011,2011-04-17,118,136,6,0,45,3,92,2,0,0,2,195109,2011-04-17 19:51:09,456714,R,6-1,501381,R,1,1,355,,502481.0,
17239144,288236,2011,2011-07-08,116,118,3,1,26,3,56,2,0,0,1,10446,2011-07-09 01:04:46,488671,L,5-11,434678,R,5,2,217,,425509.0,
15369094,287432,2011,2011-05-10,110,136,12,0,101,1,52,0,0,0,0,24317,2011-05-11 02:43:17,430945,R,6-3,444836,L,5,5,805,,429712.0,
15423238,287455,2011,2011-05-12,138,112,2,1,11,1,21,0,0,0,1,183921,2011-05-12 18:39:21,460022,R,6-2,488787,R,1,0,68,,425877.0,458675.0
17736059,288450,2011,2011-07-27,141,110,5,0,41,2,89,1,0,0,1,3809,2011-07-28 00:38:09,452252,L,6-2,430580,R,0,3,326,,,519346.0
15429052,287457,2011,2011-05-12,120,144,5,1,38,3,93,2,0,0,2,3132,2011-05-13 00:31:32,425556,L,6-1,117955,R,4,1,311,,435622.0,
15777060,287615,2011,2011-05-23,116,139,8,0,65,2,12,1,0,0,2,22459,2011-05-24 02:24:59,543108,L,6-0,407297,R,1,4,527,,400121.0,408234.0
16575322,287948,2011,2011-06-17,120,110,5,0,45,3,78,2,0,0,2,13140,2011-06-18 01:31:40,434604,R,6-5,502154,L,2,4,331,,475582.0,
14893044,287227,2011,2011-04-25,119,146,9,1,67,2,6,1,0,0,1,14216,2011-04-26 01:42:16,407801,R,6-2,430083,R,4,3,525,,,
17739984,288452,2011,2011-07-27,115,119,7,1,56,1,17,0,0,0,2,42145,2011-07-28 04:21:45,452234,L,6-3,458003,R,1,0,429,,453064.0,
