uid,game_pk,year,date,team_id_b,team_id_p,inning,top,at_bat_num,pcount_at_bat,pcount_pitcher,balls,strikes,fouls,outs,start_tfs,start_tfs_zulu,batter_id,stand,b_height,pitcher_id,p_throws,away_team_runs,home_team_runs,pitch_id,on_1b,on_2b,on_3b
17748105,288455,2011,2011-07-27,117,138,9,1,71,3,25,2,0,0,2,25816,2011-07-28 02:58:16,456422,L,5-10,459939,R,2,2,555,449786.0,,
14766421,287173,2011,2011-04-21,142,110,7,1,50,4,92,2,1,0,1,4814,2011-04-22 00:48:14,434705,R,5-11,425386,R,2,0,362,,,
15541151,287509,2011,2011-05-16,158,119,1,1,3,3,8,1,1,0,1,21523,2011-05-17 02:15:23,460075,R,6-2,279782,R,0,0,18,430001.0,,
17585809,288384,2011,2011-07-22,121,146,3,1,25,4,69,0,2,1,2,551,2011-07-23 00:05:51,446263,L,6-4,458690,R,3,2,218,,,
15652675,287561,2011,2011-05-19,140,118,8,1,55,1,101,0,0,0,2,20532,2011-05-20 02:05:32,435079,R,6-0,460024,R,1,0,417,,,
14764921,287172,2011,2011-04-21,117,121,4,1,23,2,47,0,1,0,1,443,2011-04-22 00:04:43,150324,R,6-2,425626,L,0,1,179,,,
16355866,287855,2011,2011-06-10,112,143,7,1,54,1,101,0,0,0,2,10010,2011-06-11 01:00:10,407296,L,6-4,136880,R,0,3,420,,,
16588842,287955,2011,2011-06-17,112,147,2,0,17,2,36,1,0,0,2,185555,2011-06-17 18:55:55,493120,L,6-0,150119,R,0,2,127,,425542.0,
17278507,288253,2011,2011-07-09,145,142,6,0,43,3,76,0,2,1,1,213413,2011-07-09 21:34:13,493351,R,6-2,488846,L,2,1,318,334393.0,,
14274163,286955,2011,2011-04-05,121,143,6,1,53,2,8,0,1,0,1,5728,2011-04-06 00:57:28,136860,L,6-1,458589,R,6,1,443,,431151.0,
17131673,288190,2011,2011-07-05,138,113,6,0,49,3,93,2,0,0,1,5727,2011-07-06 00:57:27,435401,L,5-10,450172,R,1,5,373,425877.0,,
16783586,288039,2011,2011-06-24,135,144,4,0,30,2,62,0,1,0,2,30714,2011-06-25 03:07:14,471868,R,5-10,117955,R,0,2,233,,,
17873872,288509,2011,2011-07-31,112,138,4,1,21,1,34,0,0,0,1,5327,2011-08-01 00:53:27,516770,R,6-0,150414,R,0,0,142,,,
14817673,287196,2011,2011-04-23,145,116,5,1,37,3,51,1,1,0,1,213241,2011-04-23 21:32:41,425567,R,6-5,207267,R,0,5,271,,,
14166761,286885,2011,2011-04-01,141,142,1,0,4,1,1,0,0,0,0,234203,2011-04-01 23:42:03,434658,R,5-9,134321,R,0,0,22,,,
14688676,287139,2011,2011-04-19,144,119,3,1,18,5,32,1,2,1,0,25132,2011-04-20 02:51:32,545404,R,6-3,493133,R,0,0,141,,,
17750380,288456,2011,2011-07-27,111,118,6,0,62,3,18,1,1,0,0,12438,2011-07-28 01:24:38,425903,R,6-1,502264,R,4,11,518,408236.0,456030.0,
17470584,288334,2011,2011-07-18,137,119,8,0,65,1,2,0,0,0,1,45836,2011-07-19 04:58:36,425496,R,5-10,458003,R,0,5,524,,,
16573503,287947,2011,2011-06-17,121,108,2,0,13,2,11,1,0,0,0,552,2011-06-18 00:05:52,502517,L,6-1,334492,R,1,0,93,,,
